orgImgName,imgName,face_bbx,left_eye_pos,right_eye_pos,occluder_bbx,occluder_type,occluder_degree,face_gender,face_race,face_orientation,glasses_bbx
add_1.jpg,train_00000001.jpg,"95.0, 160.0, 91.0, 91.0","113.0, 177.0","158.0, 172.0","7.0, 26.0, 82.0, 89.0",1.0,3.0,1.0,1.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_10.jpg,train_00000002.jpg,"107.0, 82.0, 66.0, 66.0","129.0, 95.0","156.0, 96.0","5.0, 17.0, 65.0, 56.0",2.0,3.0,1.0,1.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_11.jpg,train_00000003.jpg,"56.0, 170.0, 185.0, 185.0","140.0, 198.0","196.0, 208.0","41.0, 56.0, 147.0, 182.0",1.0,3.0,1.0,1.0,4.0,"-1.0, -1.0, -1.0, -1.0"
add_12.jpg,train_00000004.jpg,"162.0, 208.0, 71.0, 71.0","182.0, 229.0","203.0, 238.0","7.0, 26.0, 46.0, 70.0",2.0,3.0,1.0,1.0,2.0,"-1.0, -1.0, -1.0, -1.0"
add_13.jpg,train_00000005.jpg,"86.0, 69.0, 99.0, 99.0","134.0, 93.0","165.0, 98.0","6.0, 70.0, 76.0, 97.0",1.0,1.0,2.0,1.0,4.0,"-1.0, -1.0, -1.0, -1.0"
add_14.jpg,train_00000006.jpg,"79.0, 73.0, 71.0, 71.0","112.0, 84.0","138.0, 101.0","4.0, 44.0, 54.0, 69.0",1.0,1.0,2.0,3.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_15.jpg,train_00000007.jpg,"137.0, 84.0, 74.0, 74.0","153.0, 98.0","189.0, 98.0","4.0, 23.0, 70.0, 71.0",1.0,3.0,2.0,3.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_16.jpg,train_00000008.jpg,"6.0, 32.0, 166.0, 166.0","61.0, 68.0","121.0, 75.0","45.0, 88.0, 159.0, 160.0",3.0,2.0,1.0,3.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_17.jpg,train_00000009.jpg,"107.0, 180.0, 74.0, 74.0","124.0, 201.0","155.0, 198.0","7.0, 35.0, 70.0, 70.0",1.0,2.0,2.0,1.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_19.jpg,train_00000010.jpg,"123.0, 109.0, 172.0, 172.0","157.0, 160.0","232.0, 164.0","4.0, 110.0, 135.0, 166.0",3.0,2.0,1.0,1.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_2.jpg,train_00000011.jpg,"82.0, 104.0, 91.0, 91.0","106.0, 127.0","144.0, 123.0","8.0, 25.0, 84.0, 88.0",1.0,3.0,1.0,2.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_20.jpg,train_00000012.jpg,"25.0, 201.0, 104.0, 104.0","55.0, 225.0","96.0, 226.0","10.0, 29.0, 87.0, 103.0",1.0,3.0,2.0,3.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_21.jpg,train_00000013.jpg,"176.0, 64.0, 95.0, 95.0","204.0, 93.0","240.0, 82.0","13.0, 33.0, 92.0, 91.0",1.0,3.0,1.0,1.0,4.0,"-1.0, -1.0, -1.0, -1.0"
add_22.jpg,train_00000014.jpg,"118.0, 64.0, 99.0, 99.0","148.0, 89.0","191.0, 82.0","14.0, 26.0, 96.0, 97.0",1.0,3.0,2.0,1.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_23.jpg,train_00000015.jpg,"61.0, 32.0, 49.0, 49.0","77.0, 42.0","94.0, 41.0","5.0, 14.0, 44.0, 48.0",1.0,3.0,2.0,1.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_24.jpg,train_00000016.jpg,"117.0, 55.0, 69.0, 69.0","140.0, 67.0","175.0, 71.0","4.0, 18.0, 67.0, 66.0",1.0,3.0,2.0,2.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_25.jpg,train_00000017.jpg,"126.0, 67.0, 57.0, 57.0","150.0, 80.0","172.0, 85.0","2.0, 14.0, 50.0, 54.0",1.0,3.0,2.0,2.0,3.0,"9.0, 6.0, 44.0, 25.0"
add_26.jpg,train_00000018.jpg,"97.0, 95.0, 67.0, 67.0","113.0, 111.0","145.0, 106.0","1.0, 20.0, 64.0, 63.0",1.0,3.0,1.0,2.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_27.jpg,train_00000019.jpg,"112.0, 63.0, 69.0, 69.0","130.0, 77.0","163.0, 74.0","11.0, 19.0, 60.0, 65.0",1.0,3.0,1.0,2.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_28.jpg,train_00000020.jpg,"100.0, 79.0, 90.0, 90.0","130.0, 99.0","170.0, 102.0","6.0, 30.0, 80.0, 87.0",1.0,3.0,2.0,2.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_3.jpg,train_00000021.jpg,"124.0, 74.0, 56.0, 56.0","141.0, 86.0","164.0, 86.0","4.0, 18.0, 53.0, 52.0",1.0,3.0,1.0,2.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_4.jpg,train_00000022.jpg,"53.0, 204.0, 133.0, 133.0","88.0, 238.0","142.0, 229.0","4.0, 43.0, 126.0, 126.0",1.0,3.0,2.0,2.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_5.jpg,train_00000023.jpg,"61.0, 145.0, 172.0, 172.0","100.0, 188.0","177.0, 180.0","15.0, 106.0, 130.0, 170.0",2.0,1.0,2.0,1.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_6.jpg,train_00000024.jpg,"80.0, 75.0, 56.0, 56.0","97.0, 88.0","118.0, 84.0","4.0, 12.0, 49.0, 54.0",1.0,3.0,1.0,1.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_7.jpg,train_00000025.jpg,"140.0, 51.0, 56.0, 56.0","157.0, 63.0","180.0, 67.0","4.0, 18.0, 46.0, 55.0",1.0,3.0,1.0,1.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_8.jpg,train_00000026.jpg,"154.0, 69.0, 72.0, 72.0","178.0, 84.0","209.0, 85.0","5.0, 22.0, 69.0, 67.0",1.0,3.0,2.0,1.0,3.0,"-1.0, -1.0, -1.0, -1.0"
add_9.jpg,train_00000027.jpg,"124.0, 52.0, 74.0, 74.0","135.0, 70.0","161.0, 68.0","2.0, 23.0, 64.0, 73.0",1.0,3.0,2.0,3.0,3.0,"-1.0, -1.0, -1.0, -1.0"
imple_10049.jpg,train_00000028.jpg,"159.0, 62.0, 82.0, 82.0","189.0, 89.0","-1.0, -1.0","8.0, 50.0, 56.0, 80.0",1.0,2.0,1.0,2.0,1.0,"-1.0, -1.0, -1.0, -1.0"
imple_10076.jpg,train_00000029.jpg,"703.0, 252.0, 45.0, 45.0","719.0, 263.0","733.0, 263.0","3.0, 18.0, 37.0, 42.0",1.0,3.0,2.0,2.0,3.0,"-1.0, -1.0, -1.0, -1.0"
imple_10102.jpg,train_00000030.jpg,"202.0, 235.0, 106.0, 106.0","230.0, 267.0","268.0, 263.0","13.0, 39.0, 98.0, 104.0",2.0,3.0,2.0,2.0,3.0,"-1.0, -1.0, -1.0, -1.0"
